date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:00	42808/42808	---MCZ	200	added ('OK')	text/html	etag:W/%22a738-4e76700635440%22	http://circulareconomytoolkit.org/design-manufacture-distribute.html	circulareconomytoolkit.org/design-manufacture-distribute.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:00	22531/22531	---MCZ	200	added ('OK')	text/html	etag:W/%225803-4e767072ed4c0%22	http://circulareconomytoolkit.org/usage.html	circulareconomytoolkit.org/usage.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:04	20704/20704	---MCZ	200	added ('OK')	text/html	etag:W/%2250e0-4e76704fa4180%22	http://circulareconomytoolkit.org/reuse-redistribute.html	circulareconomytoolkit.org/reuse-redistribute.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:08	22919/22919	---MCZ	200	added ('OK')	text/html	etag:W/%225987-4e76702d4f080%22	http://circulareconomytoolkit.org/products-as-a-service.html	circulareconomytoolkit.org/products-as-a-service.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:08	110/110	---MCZ	200	added ('OK')	text/html	etag:W/%226e-4e2dc371a5e00%22	http://circulareconomytoolkit.org/advanced.html	circulareconomytoolkit.org/advanced.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:10	207/207	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:33:08%20GMT	http://circulareconomytoolkit.org/case.html	circulareconomytoolkit.org/case.2e.delayed	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:12	2565/2565	---MCZ	200	added ('OK')	text/css	etag:W/%22a05-4e490de3ff680%22	http://circulareconomytoolkit.org/css/styleq.css	circulareconomytoolkit.org/css/styleq.css	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:18	1655/1655	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677-4e44258585100%22	http://circulareconomytoolkit.org/js/custom.js	circulareconomytoolkit.org/js/custom.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:20	11163/11163	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b9b-4e441c9e3cf80%22	http://circulareconomytoolkit.org/js/tool.js	circulareconomytoolkit.org/js/tool.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:22	452096/452096	---M--	200	added ('OK')	application/msword	etag:%226e600-4e47995d850c0%22	http://circulareconomytoolkit.org/Press%20Release_Circular%20Economy%20Toolkit.doc	circulareconomytoolkit.org/Press%20Release_Circular%20Economy%20Toolkit.doc	(from http://circulareconomytoolkit.org/)
21:33:22	685/685	---MCZ	200	added ('OK')	text/css	etag:W/%222ad-4e42b67f9e680%22	http://circulareconomytoolkit.org/slider/css/simple-slider.css	circulareconomytoolkit.org/slider/css/simple-slider.css	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:24	370/370	---MCZ	200	added ('OK')	application/javascript	etag:W/%22172-4e338571c7880%22	http://circulareconomytoolkit.org/js/script.js	circulareconomytoolkit.org/js/script.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:28	35495/35495	---MCZ	200	added ('OK')	application/javascript	etag:W/%228aa7-4e3384dd01980%22	http://circulareconomytoolkit.org/fancybox/jquery.fancybox.js	circulareconomytoolkit.org/fancybox/jquery.fancybox.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:30	1774/1774	---M--	200	added ('OK')	image/png	etag:%226ee-4e3e70396af00%22	http://circulareconomytoolkit.org/images/tool/rect1_grey.png	circulareconomytoolkit.org/images/tool/rect1_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:32	1860/1860	---M--	200	added ('OK')	image/png	etag:%22744-4e3e718363980%22	http://circulareconomytoolkit.org/images/tool/rect3_grey.png	circulareconomytoolkit.org/images/tool/rect3_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:32	450853/450853	---MCZ	200	added ('OK')	application/javascript	etag:W/%226e125-4e338584da580%22	http://circulareconomytoolkit.org/js/jquery-ui.js	circulareconomytoolkit.org/js/jquery-ui.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:32	5281/5281	---M--	200	added ('OK')	image/png	etag:%2214a1-4e40e7d6fda00%22	http://circulareconomytoolkit.org/images/tool/circle1_grey.png	circulareconomytoolkit.org/images/tool/circle1_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:33	4657/4657	---M--	200	added ('OK')	image/png	etag:%221231-4e3e7795e0d00%22	http://circulareconomytoolkit.org/images/tool/circle2_grey.png	circulareconomytoolkit.org/images/tool/circle2_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:34	4777/4777	---M--	200	added ('OK')	image/png	etag:%2212a9-4e3e7a2231000%22	http://circulareconomytoolkit.org/images/tool/circle6_grey.png	circulareconomytoolkit.org/images/tool/circle6_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:35	4978/4978	---M--	200	added ('OK')	image/png	etag:%221372-4e3e7b3e62e80%22	http://circulareconomytoolkit.org/images/tool/circle4_grey.png	circulareconomytoolkit.org/images/tool/circle4_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:36	4994/4994	---M--	200	added ('OK')	image/png	etag:%221382-4e3e79bf02600%22	http://circulareconomytoolkit.org/images/tool/circle3_grey.png	circulareconomytoolkit.org/images/tool/circle3_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:37	5114/5114	---M--	200	added ('OK')	image/png	etag:%2213fa-4e3e7ce5d1580%22	http://circulareconomytoolkit.org/images/tool/circle5_grey.png	circulareconomytoolkit.org/images/tool/circle5_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:38	6170/6170	---M--	200	added ('OK')	image/png	etag:%22181a-4e3e7e4895a80%22	http://circulareconomytoolkit.org/images/tool/circle7_grey.png	circulareconomytoolkit.org/images/tool/circle7_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:39	3446/3446	---M--	200	added ('OK')	image/png	etag:%22d76-4e441d9bea600%22	http://circulareconomytoolkit.org/images/tool/key.png	circulareconomytoolkit.org/images/tool/key.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:41	9464/9464	---MCZ	200	added ('OK')	text/html	etag:W/%2224f8-4e766fe6bca00%22	http://circulareconomytoolkit.org/Workshops.html	circulareconomytoolkit.org/Workshops.html	(from http://circulareconomytoolkit.org/)
21:33:42	1211/1211	---M--	200	added ('OK')	image/png	etag:%224bb-5102668e20d80%22	http://circulareconomytoolkit.org/images/Feedback.png	circulareconomytoolkit.org/images/Feedback.png	(from http://circulareconomytoolkit.org/)
21:33:42	2150/2150	---M--	200	added ('OK')	image/png	etag:%22866-4e766a123c8c0%22	http://circulareconomytoolkit.org/images/PressRelease.png	circulareconomytoolkit.org/images/PressRelease.png	(from http://circulareconomytoolkit.org/)
21:33:44	216/216	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:33:42%20GMT	http://circulareconomytoolkit.org/css/images/nxt.png	circulareconomytoolkit.org/css/images/nxt.png	(from http://circulareconomytoolkit.org/css/style.css)
21:33:44	218/218	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:33:42%20GMT	http://circulareconomytoolkit.org/images/slider-bg.jpg	circulareconomytoolkit.org/images/slider-bg.jpg	(from http://circulareconomytoolkit.org/css/style.css)
21:33:46	220/220	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:33:44%20GMT	http://circulareconomytoolkit.org/css/images/preload.gif	circulareconomytoolkit.org/css/images/preload.gif	(from http://circulareconomytoolkit.org/css/style.css)
21:33:46	51860/51860	---M--	200	added ('OK')	image/png	etag:%22ca94-4e5657d4564c0%22	http://circulareconomytoolkit.org/img/Picture18.png	circulareconomytoolkit.org/img/Picture18.png	(from http://circulareconomytoolkit.org/)
21:33:46	8305/8305	---MCZ	200	added ('OK')	application/javascript	etag:W/%222071-4e33857d39380%22	http://circulareconomytoolkit.org/js/jquery.easing.js	circulareconomytoolkit.org/js/jquery.easing.js	(from http://circulareconomytoolkit.org/)
21:33:47	4159/4159	---MCZ	200	added ('OK')	application/javascript	etag:W/%22103f-4e3384a799b80%22	http://circulareconomytoolkit.org/tinybox.js	circulareconomytoolkit.org/tinybox.js	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:50	3546/3546	---M--	200	added ('OK')	image/png	etag:%22dda-4e3384fd6e600%22	http://circulareconomytoolkit.org/images/left_arrow.png	circulareconomytoolkit.org/images/left_arrow.png	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:33:52	2639/2639	---M--	200	added ('OK')	image/jpeg	etag:%22a4f-4e33d75a37740%22	http://circulareconomytoolkit.org/images/slideshow/apple.jpg	circulareconomytoolkit.org/images/slideshow/apple.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:33:54	3548/3548	---M--	200	added ('OK')	image/png	etag:%22ddc-4e3384f014680%22	http://circulareconomytoolkit.org/images/right_arrow.png	circulareconomytoolkit.org/images/right_arrow.png	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:33:56	27368/27368	---M--	200	added ('OK')	image/jpeg	etag:%226ae8-4e33854400c80%22	http://circulareconomytoolkit.org/images/slideshow/jaguar.jpg	circulareconomytoolkit.org/images/slideshow/jaguar.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:33:56	7009/7009	---M--	200	added ('OK')	image/jpeg	etag:%221b61-4e33db38216c0%22	http://circulareconomytoolkit.org/images/slideshow/ms.jpg	circulareconomytoolkit.org/images/slideshow/ms.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:33:59	70625/70625	---M--	200	added ('OK')	image/png	etag:%22113e1-4e3b160b47b80%22	http://circulareconomytoolkit.org/images/AllSixOrg.png	circulareconomytoolkit.org/images/AllSixOrg.png	(from http://circulareconomytoolkit.org/Toolkit.html)
